Waktu Order,Waktu Bayar,Produk,Jenis Order,Total Penjualan (Rp),Metode Pembayaran,Kasir
26-08-2025 18:26:56,26-08-2025 18:27:07,Florana,Lainnya,"Rp23.000,00",Cash,Mita
26-08-2025 18:33:51,26-08-2025 18:34:18,Mix Platter,Lainnya,"Rp20.000,00",Cash,Mita
26-08-2025 19:31:12,26-08-2025 19:32:47,"Mie Goreng,Air Mineral,White/Latte",Lainnya,"Rp48.000,00",Cash,Mita
26-08-2025 19:34:38,26-08-2025 19:35:42,"Nasi Goreng,Vanilla",Lainnya,"Rp43.000,00",Cash,Mita
26-08-2025 19:54:51,26-08-2025 19:55:28,"Ayam Geprek,Mix Platter,Matcha",Lainnya,"Rp81.000,00",Cash,Mita
26-08-2025 20:03:04,26-08-2025 20:03:51,Mie Goreng,Lainnya,"Rp20.000,00",Cash,Mita
26-08-2025 20:11:33,26-08-2025 20:11:38,Air Mineral,Lainnya,"Rp5.000,00",Cash,Mita
26-08-2025 20:32:23,26-08-2025 20:33:59,"Florana,Matcha",Lainnya,"Rp73.000,00",Cash,Mita
26-08-2025 21:02:20,26-08-2025 21:02:35,Florana,Lainnya,"Rp23.000,00",Cash,Mita
26-08-2025 21:30:21,26-08-2025 21:31:46,"Banana Chocolate,Caramel,Chocolate",Lainnya,"Rp70.000,00",Cash,Mita
26-08-2025 21:58:04,26-08-2025 21:59:08,"Chocolate,Pisang Goreng",Lainnya,"Rp40.000,00",Cash,Mita
26-08-2025 22:00:05,26-08-2025 22:00:39,"Florana,Air Mineral",Lainnya,"Rp28.000,00",Cash,Mita
26-08-2025 22:02:31,26-08-2025 22:04:27,Coconut,Lainnya,"Rp46.000,00",Cash,Mita
26-08-2025 22:21:53,26-08-2025 22:23:02,Florana,Lainnya,"Rp46.000,00",Cash,Mita
26-08-2025 22:23:36,26-08-2025 22:24:00,Vanilla,Lainnya,"Rp23.000,00",Cash,Mita
26-08-2025 22:26:36,26-08-2025 22:27:04,BerryLush,Lainnya,"Rp25.000,00",Cash,Mita
26-08-2025 22:30:57,26-08-2025 22:31:28,"Red Velvet,Banana Chocolate,Vanilla",Lainnya,"Rp68.000,00",Cash,Mita
26-08-2025 22:36:15,26-08-2025 22:37:34,"Coconut,Vanilla",Lainnya,"Rp46.000,00",Cash,Mita
26-08-2025 22:38:10,26-08-2025 22:39:20,Vietnam,Lainnya,"Rp17.000,00",Cash,Mita
26-08-2025 22:43:24,26-08-2025 22:44:20,"ButterScotch,Chocolate",Lainnya,"Rp73.000,00",Cash,Mita
27-08-2025 10:20:55,27-08-2025 10:22:11,"Florana,BerryLush",Lainnya,"Rp48.000,00",Cash,Mita
27-08-2025 11:54:58,27-08-2025 13:55:50,BerryLush,Lainnya,"Rp25.000,00",Cash,Mita
27-08-2025 13:15:30,27-08-2025 13:18:38,"Americano ,BerryCano,Ayam Geprek,Air Mineral",Lainnya,"Rp62.000,00",Cash,Mita
27-08-2025 13:22:50,27-08-2025 13:22:54,Donat,Lainnya,"Rp10.000,00",Cash,Mita
27-08-2025 13:30:06,27-08-2025 13:30:09,Donat,Lainnya,"Rp10.000,00",Cash,Mita
27-08-2025 13:48:24,27-08-2025 13:48:35,Donat,Lainnya,"Rp30.000,00",Cash,Mita
27-08-2025 13:48:50,27-08-2025 13:49:11,Florana,Lainnya,"Rp23.000,00",Cash,Mita
27-08-2025 15:07:15,27-08-2025 15:08:02,"Matcha,ChocoBerry",Lainnya,"Rp81.000,00",Cash,Mita
27-08-2025 15:30:34,27-08-2025 15:31:44,"Ayam Geprek,Mie Goreng",Lainnya,"Rp37.000,00",Cash,Mita
27-08-2025 15:36:39,27-08-2025 15:37:04,Chocolate,Lainnya,"Rp25.000,00",Cash,Mita
27-08-2025 15:59:47,27-08-2025 15:59:52,White/Latte,Lainnya,"Rp23.000,00",Cash,Mita
27-08-2025 17:03:25,27-08-2025 17:03:30,Donat,Lainnya,"Rp10.000,00",Cash,Zahra
27-08-2025 17:44:02,27-08-2025 17:44:49,Florana,Table,"Rp23.000,00",Cash,Zahra
27-08-2025 17:45:16,27-08-2025 17:45:52,ChocoBerry,Lainnya,"Rp27.000,00",Cash,Zahra
27-08-2025 17:46:24,27-08-2025 17:46:58,"Banana Chocolate,Florana",Lainnya,"Rp45.000,00",Cash,Zahra
27-08-2025 18:00:01,27-08-2025 18:00:21,Ayam Geprek,Lainnya,"Rp17.000,00",Cash,Zahra
27-08-2025 18:24:23,27-08-2025 18:24:29,Donat,Lainnya,"Rp10.000,00",Cash,Zahra
27-08-2025 18:38:09,27-08-2025 18:38:31,Ayam Geprek,Lainnya,"Rp17.000,00",Cash,Zahra
27-08-2025 18:41:32,27-08-2025 18:41:43,Nasi Goreng,Lainnya,"Rp20.000,00",Cash,Zahra
27-08-2025 19:22:30,27-08-2025 19:22:49,"Chocolate,Matcha",Lainnya,"Rp52.000,00",Cash,Zahra
27-08-2025 19:28:18,27-08-2025 19:30:50,"Sup Ubi,Ayam Geprek,Donat",Lainnya,"Rp67.000,00",Cash,Zahra
27-08-2025 19:36:00,27-08-2025 23:41:45,"ChocoBerry,Kentang Goreng,LemonBerry,ChocoBerry,Donat,Nasi Goreng,Air Mineral,Banana,Florana,ChocoBerry,Mix Platter",Lainnya,"Rp281.000,00",Cash,Zahra
27-08-2025 19:44:10,27-08-2025 19:44:19,"Ayam Geprek,Nasi Goreng",Lainnya,"Rp37.000,00",Cash,Zahra
27-08-2025 20:00:04,27-08-2025 20:00:12,Ayam Geprek,Lainnya,"Rp17.000,00",Cash,Zahra
27-08-2025 20:04:44,27-08-2025 20:05:31,"Matcha,Kentang Goreng",Lainnya,"Rp69.000,00",Cash,Zahra
27-08-2025 20:37:57,27-08-2025 20:38:33,"ButterScotch,Kukis ",Lainnya,"Rp35.000,00",Cash,Zahra
27-08-2025 20:39:25,27-08-2025 20:40:01,"ButterScotch,Kukis ",Lainnya,"Rp47.000,00",Cash,Zahra
27-08-2025 20:50:59,27-08-2025 20:51:41,"ButterScotch,Vanilla",Table,"Rp46.000,00",Cash,Zahra
27-08-2025 20:53:41,27-08-2025 20:54:55,"Americano ,Donat",Lainnya,"Rp25.000,00",Cash,Zahra
27-08-2025 21:14:08,27-08-2025 23:46:30,"BerryLush,Donat,BerryLush,LemonBerry,Ayam Geprek,Donat,Banana,Donat",Lainnya,"Rp155.000,00",Cash,Zahra
27-08-2025 21:32:12,27-08-2025 21:32:48,"Chocolate,Pisang Goreng",Table,"Rp65.000,00",Cash,Zahra
27-08-2025 21:38:38,27-08-2025 21:42:27,"Nasi Goreng,Air Mineral,BerryCano",Lainnya,"Rp50.000,00",Cash,Zahra
27-08-2025 21:43:20,27-08-2025 21:43:51,"Matcha,Air Mineral",Table,"Rp32.000,00",Cash,Zahra
27-08-2025 22:09:51,27-08-2025 22:10:30,"Matcha,Chocolate",Lainnya,"Rp79.000,00",Cash,Zahra
27-08-2025 22:19:55,27-08-2025 22:20:14,Air Mineral,Lainnya,"Rp5.000,00",Cash,Zahra
27-08-2025 22:25:21,27-08-2025 22:27:21,"Matcha,Chocolate,Kentang Goreng",Lainnya,"Rp67.000,00",Cash,Zahra
27-08-2025 22:34:31,27-08-2025 22:35:58,Coconut,Lainnya,"Rp23.000,00",Cash,Zahra
28-08-2025 09:23:56,28-08-2025 09:25:02,"Americano Peach,Ayam Geprek,Banana Chocolate",Table,"Rp64.000,00","Bank Transfer, SCAN QR",Muhammad Aditya
28-08-2025 10:00:16,28-08-2025 10:00:38,"Ayam Geprek,Americano Peach,Banana Chocolate",Lainnya,"Rp64.000,00","Bank Transfer, SCAN QR",Mita
28-08-2025 10:07:56,28-08-2025 10:08:05,"Americano Peach,Ayam Geprek",Lainnya,"Rp42.000,00",Cash,Mita
28-08-2025 11:58:16,28-08-2025 12:01:15,"Nasi Goreng,Air Mineral,Pisang Goreng,Mie Goreng",Table,"Rp65.000,00",Cash,Mita
28-08-2025 12:33:47,28-08-2025 12:33:58,Chocolate,Lainnya,"Rp25.000,00","Bank Transfer, SCAN QR",Mita
28-08-2025 12:57:17,28-08-2025 12:58:29,"Nasi Goreng,Air Mineral,Mie Goreng",Lainnya,"Rp75.000,00",Cash,Mita
28-08-2025 13:01:17,28-08-2025 13:01:30,Nasi Goreng,Lainnya,"Rp20.000,00","Bank Transfer, SCAN QR",Mita
28-08-2025 13:05:18,28-08-2025 13:05:38,Donat,Lainnya,"Rp10.000,00","Bank Transfer, SCAN QR",Mita
28-08-2025 14:33:03,28-08-2025 14:33:35,"Lemon Tea,Donat",Lainnya,"Rp48.000,00",Cash,Mita
28-08-2025 14:42:21,28-08-2025 14:42:25,Americano Peach,Lainnya,"Rp25.000,00",Cash,Mita
28-08-2025 14:46:06,28-08-2025 16:02:54,Donat,Lainnya,"Rp10.000,00",Cash,Mita
28-08-2025 15:25:14,28-08-2025 15:25:35,Pisang Goreng,Lainnya,"Rp15.000,00",Cash,Mita
28-08-2025 15:30:55,28-08-2025 15:32:20,"Mie Goreng,Americano Peach",Lainnya,"Rp45.000,00",Cash,Mita
28-08-2025 15:36:30,28-08-2025 15:36:47,Banana,Lainnya,"Rp23.000,00","Bank Transfer, SCAN QR",Mita
28-08-2025 15:37:35,28-08-2025 15:37:50,Donat,Lainnya,"Rp10.000,00",Cash,Mita
28-08-2025 16:04:32,28-08-2025 16:04:40,Air Mineral,Lainnya,"Rp5.000,00",Cash,Zahra
28-08-2025 16:18:01,28-08-2025 16:20:28,"Ayam Geprek,Air Mineral,Nasi Goreng,Donat,Americano ",Lainnya,"Rp131.000,00",Cash,Zahra
28-08-2025 16:27:08,28-08-2025 16:28:38,"Mie Goreng,Americano ,Air Mineral",Lainnya,"Rp60.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 16:42:57,28-08-2025 16:43:35,Red Velvet,Table,"Rp23.000,00",Cash,Zahra
28-08-2025 16:49:14,28-08-2025 16:49:24,Air Mineral,Lainnya,"Rp5.000,00",Cash,Zahra
28-08-2025 16:50:25,28-08-2025 16:50:46,BerryLush,Lainnya,"Rp25.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 17:01:10,28-08-2025 17:01:43,Americano ,Lainnya,"Rp15.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 17:05:37,28-08-2025 17:08:50,"Americano ,Americano Peach,Nasi Goreng,Chocolate,Air Mineral",Lainnya,"Rp130.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 17:11:33,28-08-2025 17:11:56,"Kentang Goreng,Air Mineral",Lainnya,"Rp20.000,00",Cash,Zahra
28-08-2025 17:14:03,28-08-2025 17:14:48,"Americano ,ButterScotch,Pisang Goreng,Nasi Goreng",Lainnya,"Rp73.000,00",Cash,Zahra
28-08-2025 17:16:45,28-08-2025 17:17:10,Caramel,Lainnya,"Rp23.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 17:19:00,28-08-2025 17:19:17,"ButterScotch,Caramel",Lainnya,"Rp46.000,00",Cash,Zahra
28-08-2025 17:20:21,28-08-2025 17:20:47,Filter,Lainnya,"Rp75.000,00",Cash,Zahra
28-08-2025 17:24:01,28-08-2025 17:25:49,"Filter,White/Latte,Sup Ubi",Lainnya,"Rp68.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 17:39:32,28-08-2025 17:40:04,"ButterScotch,Air Mineral",Lainnya,"Rp28.000,00",Cash,Zahra
28-08-2025 17:48:20,28-08-2025 17:50:00,"White/Latte,Nasi Goreng,Air Mineral",Table,"Rp48.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 17:51:54,28-08-2025 18:25:00,"Nasi Goreng,Air Mineral",Lainnya,"Rp25.000,00",Cash,Zahra
28-08-2025 17:52:58,28-08-2025 17:55:54,"Sup Ubi,Ayam Geprek,Florana,Bakso Bakar",Table,"Rp138.000,00",Cash,Zahra
28-08-2025 17:56:42,28-08-2025 17:57:00,LoveBerry,Lainnya,"Rp25.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 18:04:10,28-08-2025 18:04:18,BerryLush,Lainnya,"Rp25.000,00",Cash,Zahra
28-08-2025 18:25:48,28-08-2025 18:26:48,"Vanilla,Ubi Goreng",Lainnya,"Rp38.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 18:32:49,28-08-2025 18:33:07,Hazelnut,Lainnya,"Rp23.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 18:52:15,28-08-2025 18:52:59,"Caramel,Red Velvet",Lainnya,"Rp46.000,00",Cash,Zahra
28-08-2025 19:00:05,28-08-2025 19:00:23,Florana,Lainnya,"Rp23.000,00",Cash,Zahra
28-08-2025 19:06:48,28-08-2025 19:06:59,Vanilla,Lainnya,"Rp23.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 19:12:10,28-08-2025 19:12:55,"LemonBerry,BerryCano",Lainnya,"Rp50.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 19:14:42,28-08-2025 19:15:15,"Nasi Goreng,Americano ,Air Mineral",Lainnya,"Rp40.000,00",Cash,Zahra
28-08-2025 19:26:21,28-08-2025 19:29:05,"Air Mineral,Mie Goreng,Kukis ,Roti",Lainnya,"Rp57.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 19:32:25,28-08-2025 19:32:54,"Vanilla,Ubi Goreng",Lainnya,"Rp38.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 19:40:25,28-08-2025 19:41:54,"Florana,Americano Peach",Lainnya,"Rp48.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 19:43:29,28-08-2025 19:46:42,"Chocolate,Banana,Kentang Goreng",Lainnya,"Rp63.000,00",Cash,Zahra
28-08-2025 19:47:02,28-08-2025 19:47:38,"Red Velvet,Vietnam,Pisang Goreng",Lainnya,"Rp55.000,00",Cash,Zahra
28-08-2025 19:53:17,28-08-2025 19:54:46,"BerryCha,Red Velvet",Lainnya,"Rp50.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 20:02:32,28-08-2025 20:02:51,ButterScotch,Lainnya,"Rp23.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 20:07:01,28-08-2025 20:07:49,"Florana,Kentang Goreng,Mie Goreng",Lainnya,"Rp73.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 20:12:48,28-08-2025 20:13:35,"ChocoBerry,Pisang Goreng",Lainnya,"Rp69.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 20:14:55,28-08-2025 20:15:21,"White/Latte,Matcha",Lainnya,"Rp50.000,00",Cash,Zahra
28-08-2025 20:23:06,28-08-2025 20:24:37,"Vanilla,Red Velvet,Pisang Goreng",Table,"Rp61.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 20:27:03,28-08-2025 20:27:12,Banana,Lainnya,"Rp23.000,00",Cash,Zahra
28-08-2025 20:28:01,28-08-2025 22:19:33,"Americano ,Florana",Lainnya,"Rp38.000,00",Cash,Zahra
28-08-2025 20:33:40,28-08-2025 20:34:55,"Matcha,Kukis ",Table,"Rp66.000,00",Cash,Zahra
28-08-2025 20:35:16,28-08-2025 20:36:34,"White/Latte,Hazelnut,Mie Goreng,Nasi Goreng",Table,"Rp86.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 20:39:07,28-08-2025 20:40:22,"Vanilla,Red Velvet,Kentang Goreng",Table,"Rp61.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 20:42:02,28-08-2025 20:42:28,LoveBerry,Table,"Rp25.000,00",Cash,Zahra
28-08-2025 20:43:56,28-08-2025 20:44:13,Vanilla,Table,"Rp23.000,00",Cash,Zahra
28-08-2025 20:50:19,28-08-2025 20:50:50,Vanilla,Table,"Rp23.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 20:53:09,28-08-2025 20:54:53,"BerryLush,Banana Chocolate,ButterScotch",Table,"Rp70.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 20:56:19,28-08-2025 22:14:54,BerryLush,Lainnya,"Rp25.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 20:57:17,28-08-2025 20:58:38,"ButterScotch,Nasi Goreng,Air Mineral",Table,"Rp71.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 21:02:22,28-08-2025 21:02:44,Air Mineral,Lainnya,"Rp5.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 21:03:01,28-08-2025 21:03:33,"Donat,Air Mineral",Lainnya,"Rp15.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 21:06:15,28-08-2025 21:06:28,Pisang Goreng,Lainnya,"Rp30.000,00",Cash,Zahra
28-08-2025 21:08:53,28-08-2025 21:11:12,"Kentang Goreng,Air Mineral",Table,"Rp25.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 21:12:09,28-08-2025 21:12:36,"Chocolate,Donat",Table,"Rp60.000,00",Cash,Zahra
28-08-2025 21:14:55,28-08-2025 21:15:09,Air Mineral,Lainnya,"Rp10.000,00",Cash,Zahra
28-08-2025 21:26:57,28-08-2025 21:29:37,"Pisang Goreng,Mix Platter,Matcha,Chocolate,Caramel",Table,"Rp164.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 21:37:56,28-08-2025 21:38:10,Chocolate,Lainnya,"Rp25.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 21:47:24,28-08-2025 21:49:35,"Banana Chocolate,Vanilla,Pisang Goreng",Table,"Rp60.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 21:50:58,28-08-2025 21:51:17,Air Mineral,Lainnya,"Rp5.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 21:55:34,28-08-2025 21:55:43,Air Mineral,Lainnya,"Rp5.000,00",Cash,Zahra
28-08-2025 22:05:31,28-08-2025 22:56:03,Kukis ,Lainnya,"Rp12.000,00",Cash,Zahra
28-08-2025 22:05:42,28-08-2025 22:05:50,Kukis ,Lainnya,"Rp12.000,00",Cash,Zahra
28-08-2025 22:11:05,28-08-2025 22:11:56,"Air Mineral,Kentang Goreng,Pisang Goreng",Lainnya,"Rp40.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 22:15:50,28-08-2025 22:15:59,Donat,Lainnya,"Rp20.000,00",Cash,Zahra
28-08-2025 22:17:02,28-08-2025 22:17:16,Mix Platter,Lainnya,"Rp40.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 22:25:17,28-08-2025 22:25:54,"Matcha,Kentang Goreng",Lainnya,"Rp42.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 22:30:24,28-08-2025 22:30:53,"Vanilla,Mix Platter",Lainnya,"Rp43.000,00","Bank Transfer, SCAN QR",Zahra
28-08-2025 22:42:31,28-08-2025 22:43:03,"Americano ,Caramel",Table,"Rp38.000,00",Cash,Zahra
28-08-2025 22:52:54,28-08-2025 22:53:16,"ChocoBerry,Ayam Geprek",Lainnya,"Rp44.000,00",Cash,Zahra
28-08-2025 23:01:25,28-08-2025 23:01:41,Air Mineral,Lainnya,"Rp5.000,00",Cash,Zahra
29-08-2025 10:26:36,29-08-2025 10:27:02,ButterScotch,Table,"Rp23.000,00","Bank Transfer, SCAN QR",Zahra
29-08-2025 10:55:45,29-08-2025 10:55:52,Banana Chocolate,Lainnya,"Rp22.000,00",Cash,Zahra
29-08-2025 11:47:12,29-08-2025 11:49:28,"Nasi Goreng,Air Mineral,BerryCha,BerryLush",Table,"Rp179.000,00","Bank Transfer, SCAN QR",Zahra
29-08-2025 12:16:09,29-08-2025 12:16:35,"Matcha,Chocolate",Lainnya,"Rp52.000,00","Bank Transfer, SCAN QR",Zahra
29-08-2025 12:23:09,29-08-2025 12:24:26,"Ayam Geprek,Nasi Goreng,BerryLush,Air Mineral",Lainnya,"Rp67.000,00","Bank Transfer, SCAN QR",Zahra
